time,wheel_l,wheel_r,roll,pitch,alpha,beta_l,beta_r
0.0,2.3478260869565233,0.0,0.0,0.0,0.0,0.19436699070793043,0.0007224436296889838
0.001,2.3478260869565233,0.0018001800180018,0.0,0.0,0.0,0.18815950938737114,0.0016075073864709327
0.002,2.3478260869565233,0.0036003600360036,0.0,0.0,0.0,0.1820423044320025,0.0022723069420474053
0.003,2.3478260869565233,0.0054005400540054005,0.0,0.0,0.0,0.1760086763939433,0.0027502242813186558
0.004,2.3478260869565233,0.0072007200720072,0.0,0.0,0.0,0.17005549063203232,0.0030668996399922967
0.005,2.3478260869565233,0.009000900090009001,0.0,0.0,0.000995766005938426,0.16418349984380998,0.0032415171343449212
0.006,2.3478260869565233,0.010801080108010801,0.0,0.0,0.0009445298173395209,0.15839752029371676,0.003288150630015653
0.007,2.3478260869565233,0.012601260126012601,0.0,0.0,0.0,0.15270124721173986,0.003225904526502655
0.008,2.3478260869565233,0.0144014401440144,0.0,0.0,0.0,0.1470883358377241,0.003093134202633911
0.009,2.3478260869565233,0.016201620162016202,0.0,0.0,-0.0008585038780467299,0.1415519050447761,0.002912373995126989
0.01,2.3478260869565233,0.018001800180018002,0.0,0.0,-0.0012683610628333702,0.1360868854132138,0.0026975871315822837
0.011,2.3478260869565233,0.019801980198019802,0.0,0.0,-0.0014763583989322847,0.13068970409404107,0.0024659525338751598
0.012,2.3478260869565233,0.021602160216021602,0.0,0.0,-0.0014944533919707054,0.12535876766316736,0.002229035476776606
0.013,2.3478260869565233,0.023402340234023402,0.0,0.0,-0.0013554195479488181,0.12009479591054839,0.0019833282732286076
0.014,2.3478260869565233,0.025202520252025202,0.0,0.0,-0.0010986046093572556,0.11489925327402079,0.0017286769289508236
0.015,2.3478260869565233,0.027002700270027002,0.0,0.0,-0.0007654060602381141,0.10977467057404984,0.0014662153430497864
0.016,2.3478260869565233,0.0288028802880288,0.0,0.0,-0.00038287221858511456,0.10472388584574588,0.0011987393713842201
0.017,2.3478260869565233,0.0306030603060306,0.0,0.0,0.0,0.09975123136921074,0.0009285103734306462
0.018,2.3478260869565233,0.032403240324032405,0.0,0.0,0.000401198457686086,0.09486172935627749,0.0006542759258477723
0.019,2.3478260869565233,0.034203420342034205,0.0,0.0,0.0007465077709141153,0.09006243691949259,0.0003702437759293066
