time,wheel_l,wheel_r,roll,pitch,alpha,beta_l,beta_r
0.0,18.0,0.0,-2.7681704964351087e-06,0.2249999963903847,0.0,1.5320044042864573,-0.0014662297483056625
0.001,18.0,0.0018001800180018,-8.349868671653066e-06,0.22499999632283874,0.0,1.523492153902461,-0.0023749252189756006
0.002,18.0,0.0036003600360036,-1.6767314668406194e-05,0.2249999960155348,0.0,1.5150242922614714,-0.0031803990133691343
0.003,18.0,0.0054005400540054005,-2.8036064612418477e-05,0.22499999518928998,-0.00053641314380193,1.506600349121932,-0.0039007658457307698
0.004,18.0,0.0072007200720072,-4.216645747715598e-05,0.22499999345669705,-0.0006391993796293412,1.4982195512734293,-0.00455061244394684
0.005,18.0,0.009000900090009001,-5.916467439240213e-05,0.22499999032163168,-0.0007033233176387895,1.4898809611597148,-0.00514188505015697
0.006,18.0,0.010801080108010801,-7.903356198422458e-05,0.22499998517931621,-0.0007320165190062728,1.4815835379244915,-0.005684453135784801
0.007,18.0,0.012601260126012601,-0.00010177328855905664,0.22499997731678825,-0.0007285777705318637,1.473326176407897,-0.0061865129686820355
0.008,18.0,0.0144014401440144,-0.0001273818751703887,0.22499996591365712,-0.0006961186157627148,1.465107732554047,-0.006654893463053445
0.009,18.0,0.016201620162016202,-0.00015585563011935702,0.22499995004305925,-0.0006374001407482771,1.4569270393127716,-0.0070952959395797505
0.01,18.0,0.018001800180018002,-0.00018718950720959376,0.2249999286727426,-0.0005547445531673382,1.4487829166779091,-0.0075124859466606355
0.011,18.0,0.019801980198019802,-0.0002213774026509651,0.2249999006662261,-0.00045000914189850637,1.440674178443153,-0.007910448927670406
0.012,18.0,0.021602160216021602,-0.00025841240179271636,0.22499986478399278,-0.00032460517744751117,1.4325996372913767,-0.008292517952234329
0.013,18.0,0.023402340234023402,-0.00029828698425305415,0.22499981968468521,-0.0001795455927524305,1.4245581091928763,-0.008661479455873656
0.014,18.0,0.025202520252025202,-0.0003409931941289298,0.22499976392627985,0.0,1.4165484176707703,-0.009019661416114148
0.015,18.0,0.027002700270027002,-0.0003865227805877987,0.22499969596722405,0.00016708894857383582,1.408569398218862,-0.009369007338855245
0.016,18.0,0.0288028802880288,-0.00043486731312388145,0.22499961416752504,0.0003680233348151484,1.4006199029860786,-0.009711138639536057
0.017,18.0,0.0306030603060306,-0.0004860182750268026,0.22499951678978478,0.0005871924418222069,1.3926988056516674,-0.010047407440037329
0.018,18.0,0.032403240324032405,-0.0005399671381211757,0.22499940200017843,0.0008245597911043465,1.3848050062368207,-0.01037894133117254
0.019,18.0,0.034203420342034205,-0.0005967054215524948,0.22499926786937643,0.0010801105548235255,1.3769374354728103,-0.010706681230512285
0.02,18.0,0.036003600360036005,-0.0006562247372375572,0.22499911237341222,0.00135382559266103,1.3690950582492967,-0.011031413227914783
0.021,18.0,0.037803780378037805,-0.000718516824450143,0.22499893339449747,0.0016456733569173352,1.3612768757903737,-0.011353795161701282
0.022,18.0,0.039603960396039604,-0.0007835735757838859,0.22499872872178725,0.001955615961477375,1.3534819264924365,-0.011674378597166732
0.023,18.0,0.041404140414041404,-0.0008513870564200889,0.22499849605209704,0.002283622409630343,1.3457092856333424,-0.011993626829777958
0.024,18.0,0.043204320432043204,-0.0009219495182674418,0.22499823299057323,0.0026296806864622986,1.3379580645330864,-0.012311929288121795
0.025,18.0,0.045004500450045004,-0.000995253410147493,0.22499793705131862,0.002993802012523071,1.3302274096928939,-0.012629612850519488
0.026,18.0,0.046804680468046804,-0.0010712913848368924,0.22499760565797533,0.0033760149528215934,1.3225165023983165,-0.012946950550379071
0.027,18.0,0.048604860486048604,-0.0011500563035136409,0.2249972361442669,0.0037763516903894893,1.3148245587888425,-0.013264168366208924
0.028,18.0,0.050405040504050404,-0.0012315412379498264,0.2249968257545032,0.004194829792434934,1.3071508303731338,-0.013581450659280738
0.029,18.0,0.052205220522052204,-0.0013157394705481454,0.22499637164405187,0.00463143095298744,1.299494604920662,-0.013898944977374397
0.03,18.0,0.054005400540054004,-0.0014026444921038115,0.22499587087978234,0.005086077752204113,1.2918552078496746,-0.014216766675768426
0.031,18.0,0.0558055805580558,-0.0014922499970704845,0.2249953204404902,0.005558610078754394,1.284232004002901,-0.014535003736740663
0.032,18.0,0.0576057605760576,-0.0015845498761394244,0.22499471721731037,0.006048762734154692,1.2766243996121989,-0.014853721905461774
0.033,18.0,0.0594059405940594,-0.0016795382062837385,0.22499405801412742,0.006556148492431019,1.2690318440401445,-0.01517296964701758
0.034,18.0,0.0612061206120612,-0.0017772092392379995,0.2249933395479849,0.0070802558381727965,1.2614538299573204,-0.015492782098860753
0.035,18.0,0.063006300630063,-0.0018775573902102773,0.2249925584494874,0.007620468148817163,1.2538898907515885,-0.015813183033262082
0.036,18.0,0.06480648064806481,-0.0019805772284989475,0.22499171126318346,0.008176099222709846,1.2463395952179146,-0.016134185111220646
0.037,18.0,0.0666066606660666,-0.002086263470451994,0.22499079444792264,0.008746430661525343,1.2388025408198904,-0.01645579040568951
0.038,18.0,0.06840684068406841,-0.002194610973905767,0.2249898043771895,0.009330737891947844,1.2312783472145812,-0.016777992946602066
0.039,18.0,0.0702070207020702,-0.0023056147323894435,0.2249887373394274,0.009928297072062355,1.2237666512063843,-0.01710078437464371
0.04,18.0,0.07200720072007201,-0.0024192698660416745,0.22498758953838568,0.010538368540025047,1.2162671047346572,-0.0174241646466629
0.041,18.0,0.0738073807380738,-0.0025355716037306388,0.2249863570935608,0.011160161917686687,1.2087793772323547,-0.01774816295714464
0.042,18.0,0.07560756075607561,-0.002654515248451101,0.22498503604085332,0.011792812888579399,1.2013031626625277,-0.01807287497131436
0.043,18.0,0.0774077407740774,-0.002776096118622552,0.22498362233359168,0.012435432622923726,1.1938381899392634,-0.018398516207078143
0.044,18.0,0.07920792079207921,-0.0029003094685653287,0.22498211184398123,0.013087299407957456,1.1863842320261044,-0.01872546806643191
