time,wheel_l,wheel_r,roll,pitch,alpha,beta_l,beta_r
0.0,-18.0,0.0,9.088044000003885e-07,0.07500000034858666,0.0,-1.5349281380962077,-0.0014575040614446077
0.001,-18.0,0.0018001800180018,2.682345973131514e-06,0.07500000032712406,0.0,-1.5293866735599007,-0.0027359147589060707
0.002,-18.0,0.0036003600360036,5.277951350658256e-06,0.07500000023439916,0.0,-1.5239281645791838,-0.0037531269479413763
0.003,-18.0,0.0054005400540054005,8.659354783848472e-06,0.07499999999667585,0.0,-1.518542343250299,-0.004550549211611331
0.004,-18.0,0.0072007200720072,1.27959710483234e-05,0.07499999951947495,0.0,-1.5132196687199855,-0.00516445329890821
0.005,-18.0,0.009000900090009001,1.766116480791918e-05,0.07499999869000622,0.0,-1.5079546779064166,-0.005621231454036668
0.006,-18.0,0.010801080108010801,2.323043307465755e-05,0.07499999737932883,-3.1407608274804795,-1.5027468589619382,-0.005937569017192546
0.007,-18.0,0.012601260126012601,2.947974769867282e-05,0.07499999544461902,-3.1405870532650235,-1.4976008632782751,-0.006121947048999543
0.008,-18.0,0.0144014401440144,3.6384752118970534e-05,0.0749999927315658,0.0,-1.4925241764369919,-0.006179202762093036
0.009,-18.0,0.016201620162016202,4.3925228511005085e-05,0.07499998907452406,3.1409990977857896,-1.4875101928610934,-0.006136109104914968
0.01,-18.0,0.018001800180018002,5.208644263259792e-05,0.07499998429573143,3.140079099719568,-1.4825474526757865,-0.006025430750790762
0.011,-18.0,0.019801980198019802,6.085810224314703e-05,0.07499997820471065,3.1394049267766015,-1.4776267057044166,-0.005873741939100504
0.012,-18.0,0.021602160216021602,7.023327052000653e-05,0.07499997059773518,3.139015995676024,-1.4727413992177787,-0.0057015512889657905
0.013,-18.0,0.023402340234023402,8.020774786088536e-05,0.07499996125712192,3.1388728511998565,-1.4678871233340238,-0.005526524665627945
0.014,-18.0,0.025202520252025202,9.07795287598021e-05,0.07499994995052903,3.138927533994706,-1.4630609167533055,-0.00536339637814335
0.015,-18.0,0.027002700270027002,0.0001019462613314775,0.0749999364327988,3.1391319863063596,-1.4582613691539539,-0.005207963241684963
0.016,-18.0,0.0288028802880288,0.00011370536758141023,0.07499992044621417,3.1394199742276934,-1.4534877823411716,-0.005057704231591366
0.017,-18.0,0.0306030603060306,0.00012605448282981095,0.07499990172019891,3.1397524932942757,-1.448739274868431,-0.00491345903706804
0.018,-18.0,0.032403240324032405,0.00013899144877921983,0.07499987997135578,3.140090650246618,-1.4440154352906445,-0.0047764815231525586
0.019,-18.0,0.034203420342034205,0.00015251452505787497,0.0749998549030819,3.140410209817216,-1.439315666937933,-0.004649546484184197
0.02,-18.0,0.036003600360036005,0.0001666219277728619,0.07499982620629511,3.1406872106861194,-1.4346401444625256,-0.004532478626482117
0.021,-18.0,0.037803780378037805,0.00018131158125722424,0.07499979356016163,3.140919043763649,-1.429988460775583,-0.004422518881863928
0.022,-18.0,0.039603960396039604,0.0001965806714516332,0.07499975663360042,3.141073858715332,-1.425361752498551,-0.004314850065532463
0.023,-18.0,0.041404140414041404,0.0002124261572808758,0.07499971508486285,3.1411494931022954,-1.4207598401047694,-0.0042074631118383145
0.024,-18.0,0.043204320432043204,0.00022884476180885164,0.07499966856201648,3.141132803099687,-1.4161832449430678,-0.004098978587769133
0.025,-18.0,0.045004500450045004,0.00024583267180936267,0.07499961670435362,3.1409949104979806,-1.411633715078034,-0.003986820941358252
0.026,-18.0,0.046804680468046804,0.00026338601124351025,0.07499955914170336,3.1407362800890235,-1.4071114402947655,-0.0038706749640412784
0.027,-18.0,0.048604860486048604,0.00028150104357100144,0.07499949549408594,3.140368867888379,-1.4026158776285143,-0.00375112440963967
0.028,-18.0,0.050405040504050404,0.00030017402545327296,0.07499942537238385,3.1398988482569323,-1.398146864379954,-0.003627953528650878
0.029,-18.0,0.052205220522052204,0.0003194015850647058,0.07499934837711897,3.139348221285212,-1.3937029806807832,-0.003502740544352315
