time,wheel_l,wheel_r,roll,pitch,alpha,beta_l,beta_r
0.0,-5.478260869565217,0.0,0.0,0.0,0.0,-0.4623322080992346,-0.0007224436296889838
0.001,-5.478260869565217,0.0018001800180018,0.0,0.0,0.0,-0.4560713454653342,-0.0013467641543387348
0.002,-5.478260869565217,0.0036003600360036,0.0,0.0,0.0,-0.4498937403702229,-0.0017798282728815028
0.003,-5.478260869565217,0.0054005400540054005,0.0,0.0,0.0,-0.44379065619621605,-0.00206051565397626
0.004,-5.478260869565217,0.0072007200720072,0.0,0.0,0.0,-0.43775371167231025,-0.0022258000727053
0.005,-5.478260869565217,0.009000900090009001,0.0,0.0,0.0,-0.4317768750895382,-0.002303697505033417
0.006,-5.478260869565217,0.010801080108010801,0.0,0.0,0.0,-0.42585670687190036,-0.00231051267769706
0.007,-5.478260869565217,0.012601260126012601,0.0,0.0,-3.140727452446996,-0.41999154166092595,-0.0022613932218709253
0.008,-5.478260869565217,0.0144014401440144,0.0,0.0,-3.140503979214294,-0.4141813811687547,-0.0021710169168092613
0.009,-5.478260869565217,0.016201620162016202,0.0,0.0,-3.140577824600709,-0.4084277118615936,-0.0020442748569352524
0.01,-5.478260869565217,0.018001800180018002,0.0,0.0,-3.140988020953656,-0.40273244544967923,-0.0018819815463047747
0.011,-5.478260869565217,0.019801980198019802,0.0,0.0,0.0,-0.3970941765746511,-0.001690086098608268
0.012,-5.478260869565217,0.021602160216021602,0.0,0.0,3.1407547820310318,-0.3915071805734408,-0.0014807638025725975
0.013,-5.478260869565217,0.023402340234023402,0.0,0.0,3.1399802122957,-0.3859661508065952,-0.001265157949662454
0.014,-5.478260869565217,0.025202520252025202,0.0,0.0,3.13925913956929,-0.38046663978085116,-0.0010514947280585796
0.015,-5.478260869565217,0.027002700270027002,0.0,0.0,3.1386246471833825,-0.3750055680117306,-0.0008412759996494108
0.016,-5.478260869565217,0.0288028802880288,0.0,0.0,3.138086494562992,-0.3695806587952649,-0.0006334259003963052
0.017,-5.478260869565217,0.0306030603060306,0.0,0.0,3.137638474283411,-0.364190129302138,-0.00042750277303910296
0.018,-5.478260869565217,0.032403240324032405,0.0,0.0,3.137272273101881,-0.35883243802106773,-0.0002235268972989421
0.019,-5.478260869565217,0.034203420342034205,0.0,0.0,3.1369778691216195,-0.35350632128616444,-2.1639080450559355e-05
0.02,-5.478260869565217,0.036003600360036005,0.0,0.0,3.1367425531727102,-0.3482108591884847,0.0001782046437345231
0.021,-5.478260869565217,0.037803780378037805,0.0,0.0,3.136556851555764,-0.34294520104601156,0.0003760634126830872
0.022,-5.478260869565217,0.039603960396039604,0.0,0.0,3.13641235886055,-0.33770862489662096,0.0005719650380336667
0.023,-5.478260869565217,0.041404140414041404,0.0,0.0,3.1362983576828327,-0.3325007070193937,0.0007661140128401617
0.024,-5.478260869565217,0.043204320432043204,0.0,0.0,3.1362064858236294,-0.32732107380203346,0.0009587582080230555
0.025,-5.478260869565217,0.045004500450045004,0.0,0.0,3.136132288474837,-0.32216926526133716,0.0011499707704345345
0.026,-5.478260869565217,0.046804680468046804,0.0,0.0,3.136069938398631,-0.3170450214450984,0.001339838430470839
0.027,-5.478260869565217,0.048604860486048604,0.0,0.0,3.136011871865493,-0.3119483307554188,0.001528604900913757
0.028,-5.478260869565217,0.050405040504050404,0.0,0.0,3.135953377601489,-0.3068791389215369,0.001716476333598364
0.029,-5.478260869565217,0.052205220522052204,0.0,0.0,3.1358939607061744,-0.30183721699377314,0.0019034141042524903
0.03,-5.478260869565217,0.054005400540054004,0.0,0.0,3.1358323096072223,-0.2968225044304477,0.0020894002390705393
0.031,-5.478260869565217,0.0558055805580558,0.0,0.0,3.1357642598297923,-0.2918352967736238,0.002274720202863495
0.032,-5.478260869565217,0.0576057605760576,0.0,0.0,3.1356871492705287,-0.28687592971538817,0.0024598522407084118
0.033,-5.478260869565217,0.0594059405940594,0.0,0.0,3.1356022343582386,-0.2819445281005741,0.002645182414508388
0.034,-5.478260869565217,0.0612061206120612,0.0,0.0,3.1355129100067467,-0.2770410769172496,0.0028309541927522656
0.035,-5.478260869565217,0.063006300630063,0.0,0.0,3.135417115697011,-0.27216605580738507,0.003017725472674011
0.036,-5.478260869565217,0.06480648064806481,0.0,0.0,3.1353104356410477,-0.2673202146790393,0.0032062912424278478
0.037,-5.478260869565217,0.0666066606660666,0.0,0.0,3.135189999036882,-0.2625042323179407,0.0033974081467545393
0.038,-5.478260869565217,0.06840684068406841,0.0,0.0,3.1350573468247065,-0.2577184063012844,0.0035913679194796025
0.039,-5.478260869565217,0.0702070207020702,0.0,0.0,3.1349158160054853,-0.25296287036465803,0.0037881457726057404
0.04,-5.478260869565217,0.07200720072007201,0.0,0.0,3.134760275134404,-0.2482386594850192,0.003988215854433079
0.041,-5.478260869565217,0.0738073807380738,0.0,0.0,3.134584826674064,-0.24354700850114794,0.004192293243841141
0.042,-5.478260869565217,0.07560756075607561,0.0,0.0,3.1343856526959675,-0.23888905199312466,0.004401075528240571
0.043,-5.478260869565217,0.0774077407740774,0.0,0.0,3.134164905162398,-0.23426532816185253,0.004614551773992053
0.044,-5.478260869565217,0.07920792079207921,0.0,0.0,3.1339257373737968,-0.2296762929763595,0.0048325051340509925
0.045,-5.478260869565217,0.081008100810081,0.0,0.0,3.1336579245096083,-0.2251240459646658,0.005055742246346212
0.046,-5.478260869565217,0.08280828082808281,0.0,0.0,3.1333516155409,-0.22061083026151418,0.005285436548590963
0.047,-5.478260869565217,0.0846084608460846,0.0,0.0,3.132999656072471,-0.21613873551990465,0.00552273157198503
0.048,-5.478260869565217,0.08640864086408641,0.0,0.0,3.1326039530063663,-0.21170878717191488,0.005767412096833807
0.049,-5.478260869565217,0.0882088208820882,0.0,0.0,3.132166381099519,-0.20732205058746256,0.006019405484947692
0.05,-5.478260869565217,0.09000900090009001,0.0,0.0,3.131686767347908,-0.2029799291822601,0.006279214954088006
0.051,-5.478260869565217,0.0918091809180918,0.0,0.0,3.13116371041588,-0.19868408801353105,0.006547783105571055
0.052,-5.478260869565217,0.09360936093609361,0.0,0.0,3.1306053621510057,-0.19443485251525738,0.006824312525151345
0.053,-5.478260869565217,0.0954095409540954,0.0,0.0,3.1300249292507325,-0.19023173503298146,0.007107019886455328
0.054,-5.478260869565217,0.09720972097209721,0.0,0.0,3.129433242790237,-0.18607448202689747,0.007394486236293395
0.055,-5.478260869565217,0.099009900990099,0.0,0.0,3.1288387177995323,-0.18196311144502875,0.007685658742559406
0.056,-5.478260869565217,0.10081008100810081,0.0,0.0,3.128247686476123,-0.1778978946346269,0.00797979506751639
0.057,-5.478260869565217,0.1026102610261026,0.0,0.0,3.1276647655201217,-0.17387932672212697,0.008276402594073362
0.058,-5.478260869565217,0.10441044104410441,0.0,0.0,3.127093171715796,-0.1699080965448232,0.00857518058747359
0.059,-5.478260869565217,0.1062106210621062,0.0,0.0,3.1265349936626143,-0.1659850573767181,0.008875968065402787
0.06,-5.478260869565217,0.10801080108010801,0.0,0.0,3.1259914648066536,-0.1621111953712288,0.00917870005032849
0.061,-5.478260869565217,0.1098109810981098,0.0,0.0,3.12546322825983,-0.15828759725211478,0.009483373865977546
0.062,-5.478260869565217,0.1116111611161116,0.0,0.0,3.1249505196710885,-0.15451542502182886,0.009790023472638515
0.063,-5.478260869565217,0.1134113411341134,0.0,0.0,3.124453241507103,-0.15079590100807627,0.010098697435883984
0.064,-5.478260869565217,0.1152115211521152,0.0,0.0,3.1239710202542543,-0.1471302942556419,0.010409438858418999
0.065,-5.478260869565217,0.11701170117011701,0.0,0.0,3.1235033457002763,-0.1435198977493889,0.010722270553483996
0.066,-5.478260869565217,0.1188118811881188,0.0,0.0,3.123049716326182,-0.13996600444273338,0.011037187414387318
0.067,-5.478260869565217,0.12061206120612061,0.0,0.0,3.12260963527454,-0.13646989945362759,0.01135415034626135
0.068,-5.478260869565217,0.1224122412241224,0.0,0.0,3.1221825091579674,-0.1330328629587363,0.011673074931903608
0.069,-5.478260869565217,0.12421242124212421,0.0,0.0,3.12176769966773,-0.12965615473342518,0.0119938188514557
0.07,-5.478260869565217,0.126012601260126,0.0,0.0,3.1213647138737466,-0.12634098134809457,0.012316178742189711
0.071,-5.478260869565217,0.1278127812781278,0.0,0.0,3.120973170045021,-0.12308848975700215,0.01263989338348468
0.072,-5.478260869565217,0.12961296129612962,0.0,0.0,3.1205925148455904,-0.11989979104491844,0.012964639733131235
0.073,-5.478260869565217,0.1314131413141314,0.0,0.0,3.1202220215107093,-0.11677594806058561,0.013290029396681072
0.074,-5.478260869565217,0.1332133213321332,0.0,0.0,3.119861094130138,-0.11371792480497533,0.013615635116010319
0.075,-5.478260869565217,0.135013501350135,0.0,0.0,3.1195091179473633,-0.11072660075052015,0.013941043552991719
0.076,-5.478260869565217,0.13681368136813682,0.0,0.0,3.1191649935689765,-0.10780283508707122,0.014265894384055818
0.077,-5.478260869565217,0.1386138613861386,0.0,0.0,3.118827520833359,-0.10494741997082796,0.01458990448260403
0.078,-5.478260869565217,0.1404140414041404,0.0,0.0,3.1184960252402356,-0.10216100339399997,0.014912908010462586
0.079,-5.478260869565217,0.1422142214221422,0.0,0.0,3.118169792322182,-0.09944418064426985,0.015234862161541643
0.08,-5.478260869565217,0.14401440144014402,0.0,0.0,3.117847773495068,-0.09679753435987892,0.01555576979979483
0.081,-5.478260869565217,0.1458145814581458,0.0,0.0,3.1175298083414913,-0.09422143859120807,0.015875628336132312
0.082,-5.478260869565217,0.1476147614761476,0.0,0.0,3.1172162180603795,-0.09171611224685472,0.016194455955166165
0.083,-5.478260869565217,0.1494149414941494,0.0,0.0,3.1169063267091763,-0.08928183774651632,0.016512241927433644
0.084,-5.478260869565217,0.15121512151215122,0.0,0.0,3.116600234450213,-0.08691865976870788,0.016828876577369402
0.085,-5.478260869565217,0.153015301530153,0.0,0.0,3.1162989493617292,-0.08462636304194948,0.017144257666866766
0.086,-5.478260869565217,0.1548154815481548,0.0,0.0,3.116001546282271,-0.08240494490283945,0.017458289921580702
0.087,-5.478260869565217,0.1566156615661566,0.0,0.0,3.1157080765813836,-0.08025410664944033,0.0177707429567232
0.088,-5.478260869565217,0.15841584158415842,0.0,0.0,3.1154198161803386,-0.07817322391656167,0.01808144741254228
0.089,-5.478260869565217,0.1602160216021602,0.0,0.0,3.115134614456304,-0.07616217721910423,0.018390298328351096
0.09,-5.478260869565217,0.162016201620162,0.0,0.0,3.114852604266603,-0.07422030831424564,0.01869700960127719
0.091,-5.478260869565217,0.1638163816381638,0.0,0.0,3.1145739097667646,-0.07234687751151725,0.019001538817345464
0.092,-5.478260869565217,0.16561656165616562,0.0,0.0,3.1142934366721726,-0.07054204336834446,0.01930391989171014
0.093,-5.478260869565217,0.1674167416741674,0.0,0.0,3.1140103655457256,-0.06880504896635542,0.01960411972996342
0.094,-5.478260869565217,0.1692169216921692,0.0,0.0,3.113716150367743,-0.06713663556825805,0.019902939316057935
0.095,-5.478260869565217,0.171017101710171,0.0,0.0,3.113397279156146,-0.06553846877407765,0.020201282429397588
0.096,-5.478260869565217,0.17281728172817282,0.0,0.0,3.113042919838066,-0.06401162023562901,0.020500787980360792
0.097,-5.478260869565217,0.17461746174617462,0.0,0.0,3.1126511357148345,-0.06255526391347799,0.020801915911758766
0.098,-5.478260869565217,0.1764176417641764,0.0,0.0,3.1122231775298723,-0.061167884257310456,0.021104903760722757
