time,wheel_l,wheel_r,roll,pitch,alpha,beta_l,beta_r
0.017,-18.0,0.0306030603060306,0.00016514172106380848,0.09999986786110711,3.1413110157927373,-1.4532219840647,-0.006519625795112694
0.018,-18.0,0.032403240324032405,0.00018189287371643428,0.0999998402309959,0.0,-1.4487573571001984,-0.006357170307508878
0.019,-18.0,0.034203420342034205,0.00019937672481371894,0.09999980846593462,0.0,-1.4443246431889474,-0.006195740608773495
0.02,-18.0,0.036003600360036005,0.00021758665046958526,0.09999977220039336,0.0,-1.4399274010116245,-0.00602978308565503
0.021,-18.0,0.037803780378037805,0.00023651578034852885,0.09999973105814293,0.0,-1.4355666593836562,-0.005858839009896163
0.022,-18.0,0.039603960396039604,0.00025615740899800877,0.0999996846519999,3.1409306619547053,-1.4312424725051438,-0.005683959469297506
0.023,-18.0,0.041404140414041404,0.0002765067470989724,0.09999963257968623,3.1402897666942873,-1.4269509257666166,-0.00551280402527814
0.024,-18.0,0.043204320432043204,0.00029756107771405205,0.09999957442191834,3.139591622193837,-1.4226873790727421,-0.0053532505627644136
0.025,-18.0,0.045004500450045004,0.00031931867950866567,0.09999950974374901,3.138891627839181,-1.4184482308289166,-0.005207712038576924
0.026,-18.0,0.046804680468046804,0.0003417780228348981,0.09999943809622969,3.138224475976315,-1.414230810315502,-0.005074676883836827
0.027,-18.0,0.048604860486048604,0.0003649376542835406,0.0999993590167081,3.137606803245185,-1.4100330097190144,-0.0049524992460082675
0.028,-18.0,0.050405040504050404,0.00038879623384674693,0.09999927202871117,3.137045306507799,-1.4058531069316877,-0.004840143530137607
0.029,-18.0,0.052205220522052204,0.00041335253602977175,0.09999917664190615,3.1365413573975607,-1.4016896799085226,-0.004736881018551503
0.03,-18.0,0.054005400540054004,0.00043860542589686064,0.09999907235215144,3.136093147583652,-1.397541548076206,-0.004642079889381402
0.031,-18.0,0.0558055805580558,0.0004645538298683729,0.09999895864159455,3.1356968206451064,-1.3934077295621858,-0.004555130746251262
0.032,-18.0,0.0576057605760576,0.0004911967132241001,0.099998834978775,3.1353474135489896,-1.3892873962774783,-0.0044754422074115684
0.033,-18.0,0.0594059405940594,0.0005185330656741213,0.09999870081871715,3.1350395963411546,-1.385179833454044,-0.004402449171800945
0.034,-18.0,0.0612061206120612,0.0005465618904966371,0.09999855560302422,3.134767985695474,-1.3810844175285122,-0.004335612248885099
0.035,-18.0,0.063006300630063,0.0005752821957976102,0.09999839875997635,3.1345272281177694,-1.377000604793695,-0.004274419227659253
0.036,-18.0,0.06480648064806481,0.000604692989968685,0.0999982297046181,3.134312152501699,-1.372927916091481,-0.004218395128675009
0.037,-18.0,0.0666066606660666,0.0006347932818490241,0.09999804783882503,3.1341179922418285,-1.368865917444172,-0.004167111248646956
0.038,-18.0,0.06840684068406841,0.0006655820827462106,0.09999785255135808,3.13394047808127,-1.36481420796392,-0.0041201843008219765
0.039,-18.0,0.0702070207020702,0.0006970584077675674,0.09999764321791851,3.1337757631439804,-1.3607724181963454,-0.004077270596020389
0.04,-18.0,0.07200720072007201,0.000729221276624129,0.09999741920120368,3.1336203131409626,-1.3567402117285527,-0.004038064467919271
0.041,-18.0,0.0738073807380738,0.0007620697159039815,0.09999717985094998,3.1334708958171906,-1.3527172817080437,-0.004002303669225397
0.042,-18.0,0.07560756075607561,0.0007956027641537474,0.09999692450394936,3.1333246822767196,-1.348703340950864,-0.003969776443400112
0.043,-18.0,0.0774077407740774,0.0008298194785729694,0.09999665248404188,3.133179346432872,-1.344698112893961,-0.003940322221666132
0.044,-18.0,0.07920792079207921,0.0008647189406960991,0.09999636310210164,3.1330330802270523,-1.3407013294280072,-0.00391382334402278
