time,wheel_l,wheel_r,roll,pitch,alpha,beta_l,beta_r
0.0,8.608695652173914,0.0,0.0,0.0,0.0,0.7302974254905391,0.0007224436296889838
0.001,8.608695652173914,0.0018001800180018,0.0,0.0,0.0,0.7240227697957723,0.0016247455094319458
0.002,8.608695652173914,0.0036003600360036,0.0,0.0,0.0,0.7178250250431999,0.0023162606236364694
0.003,8.608695652173914,0.0054005400540054005,0.0,0.0,0.0,0.7116964730835428,0.002830197786233794
0.004,8.608695652173914,0.0072007200720072,0.0,0.0,0.0,0.7056317088028489,0.003193477659199995
0.005,8.608695652173914,0.009000900090009001,0.0,0.0,0.0012456539231396433,0.6996280150939169,0.003427507669981873
0.006,8.608695652173914,0.010801080108010801,0.0,0.0,0.0016540098628996947,0.6936852267167022,0.003549452787617489
0.007,8.608695652173914,0.012601260126012601,0.0,0.0,0.0017381302603863182,0.687805488881839,0.0035737271339128167
0.008,8.608695652173914,0.0144014401440144,0.0,0.0,0.0014365835013209322,0.6819906025763369,0.003518621090897373
0.009,8.608695652173914,0.016201620162016202,0.0,0.0,0.0009408893634311931,0.6762349963286559,0.0034139144241315065
0.01,8.608695652173914,0.018001800180018002,0.0,0.0,0.0004341167119055924,0.6705317719692567,0.0032725345575895333
0.011,8.608695652173914,0.019801980198019802,0.0,0.0,0.0,0.664874845097955,0.003107561612720758
0.012,8.608695652173914,0.021602160216021602,0.0,0.0,-0.0002722051116198987,0.6592588779593772,0.0029332076112928056
0.013,8.608695652173914,0.023402340234023402,0.0,0.0,-0.0004244995129051722,0.6536796434695313,0.0027612693096561117
0.014,8.608695652173914,0.025202520252025202,0.0,0.0,-0.0004458380076576552,0.6481343268084114,0.0025915895228401297
0.015,8.608695652173914,0.027002700270027002,0.0,0.0,-0.0003555742370959296,0.6426209657313989,0.0024224815094925807
0.016,8.608695652173914,0.0288028802880288,0.0,0.0,0.0,0.6371376256371245,0.0022546684540309817
0.017,8.608695652173914,0.0306030603060306,0.0,0.0,0.0,0.631682765599282,0.002089067466324387
0.018,8.608695652173914,0.032403240324032405,0.0,0.0,0.0004197757276664392,0.6262551184903874,0.0019267083569032175
0.019,8.608695652173914,0.034203420342034205,0.0,0.0,0.0007964467589862283,0.6208532925494006,0.0017690728579758332
0.02,8.608695652173914,0.036003600360036005,0.0,0.0,0.001213512471874547,0.6154763041282576,0.0016171077860161593
0.021,8.608695652173914,0.037803780378037805,0.0,0.0,0.0016595308673471826,0.610123409344397,0.001471282634810759
0.022,8.608695652173914,0.039603960396039604,0.0,0.0,0.0021286646279680033,0.6047937067009954,0.0013315159822410018
0.023,8.608695652173914,0.041404140414041404,0.0,0.0,0.002614891660370806,0.5994864879674244,0.001196583383560591
0.024,8.608695652173914,0.043204320432043204,0.0,0.0,0.0031080152844158663,0.5942015331792944,0.001064504756458509
0.025,8.608695652173914,0.045004500450045004,0.0,0.0,0.0036015620726864888,0.5889385449701694,0.0009339206290317329
0.026,8.608695652173914,0.046804680468046804,0.0,0.0,0.004095866020329076,0.5836968544111583,0.0008043208893963212
0.027,8.608695652173914,0.048604860486048604,0.0,0.0,0.004592684922247053,0.5784757407622261,0.0006754196328373424
0.028,8.608695652173914,0.050405040504050404,0.0,0.0,0.005086386159784025,0.5732751122185147,0.0005463083894589865
0.029,8.608695652173914,0.052205220522052204,0.0,0.0,0.0055717171998104125,0.5680949035427953,0.00041644982500607924
0.03,8.608695652173914,0.054005400540054004,0.0,0.0,0.006046988271394714,0.5629348146211135,0.0002858347747214038
0.031,8.608695652173914,0.0558055805580558,0.0,0.0,0.006516474351425961,0.5577940811046078,0.00015491535427541742
0.032,8.608695652173914,0.0576057605760576,0.0,0.0,0.006981918710432804,0.552672176362714,2.377904896133827e-05
0.033,8.608695652173914,0.0594059405940594,0.0,0.0,0.007436915126144425,0.5475694067821728,-0.00010851042934934777
0.034,8.608695652173914,0.0612061206120612,0.0,0.0,0.007876358945481055,0.5424860071442175,-0.00024243437536173099
0.035,8.608695652173914,0.063006300630063,0.0,0.0,0.00829841721923877,0.5374219476051977,-0.00037791415635895966
0.036,8.608695652173914,0.06480648064806481,0.0,0.0,0.008705030783342237,0.5323768790961604,-0.0005147210847148082
0.037,8.608695652173914,0.0666066606660666,0.0,0.0,0.009101893440085836,0.5273500500716848,-0.0006521955498050474
0.038,8.608695652173914,0.06840684068406841,0.0,0.0,0.009482820234191695,0.5223420896534954,-0.0007915909928536405
0.039,8.608695652173914,0.0702070207020702,0.0,0.0,0.009843533311739979,0.5173534150766682,-0.0009333304879534333
0.04,8.608695652173914,0.07200720072007201,0.0,0.0,0.010176472933121742,0.5123849377748222,-0.0010783673923504171
0.041,8.608695652173914,0.0738073807380738,0.0,0.0,0.01047866968496665,0.5074370854663937,-0.0012267361946532449
0.042,8.608695652173914,0.07560756075607561,0.0,0.0,0.01075535274211596,0.5025093915339272,-0.001377947928085886
0.043,8.608695652173914,0.0774077407740774,0.0,0.0,0.011006234861283824,0.4976020106593713,-0.0015320242892531066
0.044,8.608695652173914,0.07920792079207921,0.0,0.0,0.011237646876091118,0.49271428108110893,-0.0016882086416122885
0.045,8.608695652173914,0.081008100810081,0.0,0.0,0.011446922312429253,0.48784663178438875,-0.001846634626525884
0.046,8.608695652173914,0.08280828082808281,0.0,0.0,0.011636059690652692,0.48299893888992707,-0.0020068782487280756
0.047,8.608695652173914,0.0846084608460846,0.0,0.0,0.011805388261678634,0.4781712971001784,-0.002168721783698842
0.048,8.608695652173914,0.08640864086408641,0.0,0.0,0.011962715719123426,0.47336279652505087,-0.002331366641023941
