time,wheel_l,wheel_r,roll,pitch,yaw,beta_l,beta_r,alpha
0.0,11.73913043478261,18.0,0.0,0.0,582.4448820356849,0.9656314803418138,1.5015619151244224,0.0
0.01,11.73913043478261,18.0,0.0,0.0,582.4448820394502,0.9263939078747202,1.4623241144771097,0.0
0.02,11.73913043478261,18.0,0.0,0.0,582.4448821009627,0.8871571932737435,1.4230839004009797,0.0
0.03,11.73913043478261,18.0,0.0,0.0,582.444882233943,0.8479212893948412,1.3838436655699535,0.0
0.04,11.73913043478261,18.0,0.0,0.0,582.4448824555631,0.808686402406288,1.3446034070111117,0.0
0.05,11.73913043478261,18.0,0.0,0.0,582.4448827873094,0.7694527907802682,1.3053631217322634,0.0
0.06,11.73913043478261,18.0,0.0,0.0,582.4448832560597,0.730220778488713,1.2661228070032484,0.0
0.07,11.73913043478261,18.0,0.0,0.0,582.4448838954238,0.690990771508063,1.2268824608285853,0.0
0.08,11.73913043478261,18.0,0.0,0.0,582.4448847474129,0.6517632784673448,1.1876420827138376,0.0
0.09,11.73913043478261,18.0,0.0,0.0,582.4448858645152,0.6125389365007565,1.1484016748800239,0.0
0.1,11.73913043478261,18.0,0.0,0.0,582.4448873122759,0.5733185436761281,1.1091612441592282,0.0
0.11,11.73913043478261,18.0,0.0,0.0,582.4448891725016,0.5341030998166407,1.0699208049251505,0.0
0.12,11.73913043478261,18.0,0.0,0.0,582.4448915472441,0.4948938582152298,1.0306803835990261,0.0
0.13,11.73913043478261,18.0,0.0,0.0,582.4448945637635,0.4556923918560284,0.9914400255653982,0.0
0.14,11.73913043478261,18.0,0.0,0.0,582.4448983807383,0.41650067970074456,0.9521998058067148,0.0
0.15,11.73913043478261,18.0,0.0,0.0,582.4449031961113,0.37732122218309283,0.9129598453579764,0.0
0.16,11.73913043478261,18.0,0.0,0.0,582.4449092571626,0.338157201996251,0.8737203370682914,-2.0120651452874444e-05
0.17,11.73913043478261,18.0,0.0,0.0,582.4449168738022,0.2990127203070807,0.8344815867312936,-2.551250974160973e-05
0.18,11.73913043478261,18.0,0.0,0.0,582.4449264368764,0.2598931683214245,0.7952440808063481,-3.215628982364049e-05
0.19,11.73913043478261,18.0,0.0,0.0,582.4449384450043,0.2208058610298369,0.756008603258806,-4.029207562387664e-05
0.2,11.73913043478261,18.0,0.0,0.0,582.4449535474067,0.18176122233978143,0.7167764515341702,-5.017494523375257e-05
0.21,11.73913043478261,18.0,0.0,0.0,582.44497262014,0.14277525012454062,0.6775498772733323,-6.203752643688108e-05
0.22,11.73913043478261,18.0,0.0,0.0,582.4449969219842,0.10387537725385021,0.6383331202819801,-7.597085706665756e-05
0.23,11.73913043478261,18.0,0.0,0.0,582.4450284799568,0.06511735029797083,0.5991353719349294,-9.147213304940895e-05
0.24,11.73913043478261,18.0,0.0,0.0,582.4450713919882,0.026652425649053568,0.559982391329133,-0.00010495367908838028
