time,wheel_l,wheel_r,roll,pitch,yaw,beta_l,beta_r,alpha
0.0,-5.483870967741936,-10.0,0.0,0.0,392.5095163191816,-0.4596098336198153,-0.8461904787811056,0.0
0.01,-5.483870967741936,-10.0,0.0,-0.0,2.9520272740472526,-0.4596098336198153,-0.8461904787811056,0.0
0.02,-5.483870967741936,-10.0,0.0,-0.0,392.50951609854997,-0.4400036090660668,-0.8265709200312285,0.0
0.03,-5.483870967741936,-10.0,0.0,-0.0,392.5095156480737,-0.4302075645809225,-0.8167609108801825,0.0
0.04,-5.483870967741936,-10.0,0.0,-0.0,392.50951495554335,-0.420412286948095,-0.8069509647693536,0.0
0.05,-5.483870967741936,-10.0,0.0,-0.0,392.5095140086943,-0.4106178211619578,-0.7971410872687762,0.0
0.06,-5.483870967741936,-10.0,0.0,-0.0,392.5095127945731,-0.4008242150276796,-0.7873312844453753,0.0
0.07,-5.483870967741936,-10.0,0.0,-0.0,2.952022254362446,-0.3910315193722105,-0.7775215629112283,0.0
0.08,-5.483870967741936,-10.0,0.0,-0.0,392.509509509009,-0.3812397882779369,-0.767711929877199,0.0
0.09,-5.483870967741936,-10.0,0.0,-0.0,392.50950740783253,-0.37144907934254356,-0.7579023932126664,0.0
0.1,-5.483870967741936,-10.0,0.0,-0.0,392.50950497981904,-0.361659453969304,-0.7480929615121986,0.0
0.11,-5.483870967741936,-10.0,0.0,-0.0,392.50950220789355,-0.35187097769286874,-0.7382836441701749,0.0
0.12,-5.483870967741936,-10.0,0.0,-0.0,392.50949907399513,-0.3420837205466462,-0.728474451464538,0.0
0.13,-5.483870967741936,-10.0,0.0,-0.0,392.5094955590118,-0.3322977574791456,-0.7186653946510906,0.0
0.14,-5.483870967741936,-10.0,0.0,-0.0,392.50949164270946,-0.32251316882821934,-0.7088564860700247,0.0
0.15,-5.483870967741936,-10.0,0.0,-0.0,392.50948730365405,-0.3127300408640954,-0.6990477392667297,0.0
0.16,-5.483870967741936,-10.0,0.0,-0.0,392.50948251912524,-0.30294846641452755,-0.6892391691293523,0.0
0.17,-5.483870967741936,-10.0,0.0,-0.0,392.50947726502125,-0.29316854558845634,-0.6794307920461438,0.0
0.18,-5.483870967741936,-10.0,0.0,-0.0,392.50947151575235,-0.2833903866184467,-0.6696226260863274,0.0
0.19,-5.483870967741936,-10.0,0.0,-0.0,392.509465244122,-0.27361410684709875,-0.6598146912091232,0.0
0.2,-5.483870967741936,-10.0,0.0,-0.0,2.9519693760578596,-0.2638398338889498,-0.6500070095067305,0.0
0.21,-5.483870967741936,-10.0,0.0,-0.0,392.5094510161315,-0.2540677070075542,-0.6401996054885879,0.0
0.22,-5.483870967741936,-10.0,0.0,-0.0,392.50944299604066,-0.24429787875806852,-0.6303925064162219,-3.1415425011709925
0.23,-5.483870967741936,-10.0,0.0,-0.0,392.5094343257532,-0.23453051695967023,-0.6205857427006473,-3.14153693565499
0.24,-5.483870967741936,-10.0,0.0,-0.0,392.50942496760365,-0.22476580708072105,-0.6107793483778212,-3.141530981076321
0.25,-5.483870967741936,-10.0,0.0,-0.0,2.951925836023377,-0.21500395514453607,-0.6009733616824604,-3.1415246216560844
0.26,-5.483870967741936,-10.0,0.0,-0.0,392.5094040228952,-0.20524519129749008,-0.5911678257471017,-3.1415178412155162
0.27,-5.483870967741936,-10.0,0.0,-0.0,2.9519033006993416,-0.19548977422775782,-0.5813627894624037,-3.141510623204163
0.28,-5.483870967741936,-10.0,0.0,-0.0,392.50937979907957,-0.18573799668786567,-0.5715583085474891,-3.141502950735361
0.29,-5.483870967741936,-10.0,0.0,-0.0,392.50936632728536,-0.17599019246598857,-0.5617544468973691,-3.141494806629847
0.3,-5.483870967741936,-10.0,0.0,-0.0,392.50935186998925,-0.16624674528277428,-0.5519512783008858,-3.1414861734675066
0.31,-5.483870967741936,-10.0,0.0,-0.0,392.5093363608014,-0.15650810028333234,-0.5421488886614598,-3.141477033646414
0.32,-5.483870967741936,-10.0,0.0,-0.0,2.9518306812556423,-0.14677477908163045,-0.5323473789111779,-3.141467369444265
0.33,-5.483870967741936,-10.0,0.0,-0.0,392.50930188520164,-0.13704739975281988,-0.5225468688979166,-3.1414571630729458
0.34,-5.483870967741936,-10.0,0.0,-0.0,392.50928274582293,-0.12732670385308953,-0.5127475026647984,-3.1414463967026838
0.35,-5.483870967741936,-10.0,0.0,-0.0,392.5092622048487,-0.11761359364356827,-0.5029494557655029,-3.1414350524071475
0.36,-5.483870967741936,-10.0,0.0,-0.0,392.509240144056,-0.10790918450800041,-0.49315294562951034,-3.1414231119264704
0.37,-5.483870967741936,-10.0,0.0,-0.0,392.50921642657755,-0.09821488065695916,-0.4833582466238563,-3.1414105560316354
0.38,-5.483870967741936,-10.0,0.0,-0.0,392.50919089158873,-0.08853248773796896,-0.47356571257814084,-3.1413973630200505
0.39,-5.483870967741936,-10.0,0.0,-0.0,392.509163346707,-0.07886438628200276,-0.4637758116095593,-3.141383505301685
0.4,-5.483870967741936,-10.0,0.0,-0.0,392.50913355671867,-0.06921381023803169,-0.45398918210476064,-3.141368941654077
0.41,-5.483870967741936,-10.0,0.0,-0.0,392.5091012260952,-0.05958531761584668,-0.4442067269952861,-3.141353599200223
0.42,-5.483870967741936,-10.0,0.0,-0.0,392.5090659703,-0.04998563779856502,-0.4344297817708743,-3.141337329354713
0.43,-5.483870967741936,-10.0,0.0,-0.0,392.50902726509486,-0.04042532612885935,-0.4246604358585923,-3.141319791728477
0.44,-5.483870967741936,-10.0,0.0,-0.0,392.50898434756033,-0.030922363648457518,-0.41490220621638657,-3.141300112842912
0.45,-5.483870967741936,-10.0,0.0,-0.0,392.50893599313446,-0.02151126840272649,-0.4051616353547504,-3.1412757084726404
0.46,-5.483870967741936,-10.0,0.0,-0.0,392.5088798890023,-0.012272100352463178,-0.395452835103406,-3.141237085819023
0.47,-5.483870967741936,-10.0,0.0,-0.0,392.5088100230209,-0.0034681758335110002,-0.3858149425223618,-3.1411333398395667
0.48,-5.483870967741936,-10.0,0.0,-0.0,392.5086897534905,0.0028960611962356997,-0.37639625042501773,-3.1404878284439746
0.49,-5.483870967741936,-10.0,0.0,-0.0,392.508303665963,-0.0029333093203530725,-0.3661170503164215,-3.1396646852161445
0.5,-5.483870967741936,-10.0,0.0,-0.0,392.5078858759526,0.00304409859752075,-0.35821847193274714,-3.1390544452755713
0.51,-5.483870967741936,-10.0,0.0,-0.0,392.5072721384998,-3.8905635537545e-05,-0.34942706115866495,-3.138397217598502
0.52,-5.483870967741936,-10.0,0.0,-0.0,392.5065624719973,0.001964475451290748,-0.3416103796585057,-3.137873125561756
0.53,-5.483870967741936,-10.0,0.0,-0.0,392.50571879513313,0.0018125080582054864,-0.33364131913540684,-3.1372384438652947
0.54,-5.483870967741936,-10.0,0.0,-0.0,392.50475479312445,0.0022870441468563762,-0.32587507928963566,-3.136545529632171
0.55,-5.483870967741936,-10.0,0.0,-0.0,392.5036699803621,0.0026582855353409762,-0.3181827062248421,-3.135795809061419
0.56,-5.483870967741936,-10.0,0.0,-0.0,392.50246573887375,0.0030351447176995006,-0.3105684662519015,-3.1349882175563133
0.57,-5.483870967741936,-10.0,0.0,-0.0,392.50114332897977,0.003417487563318111,-0.30302511802320986,-3.1341241953961783
0.58,-5.483870967741936,-10.0,0.0,-0.0,392.49970394614985,0.0038055127048463033,-0.2955485329646458,-3.133205680549722
0.59,-5.483870967741936,-10.0,0.0,-0.0,392.498148740895,0.004198676543637703,-0.2881365301733574,-3.1322351072272876
0.6,-5.483870967741936,-10.0,0.0,-0.0,392.49647883620503,0.0045961157234957195,-0.28078830522639353,-3.131215887297462
0.61,-5.483870967741936,-10.0,0.0,-0.0,392.4946953644365,0.004998043110509609,-0.27350421287927784,-3.1301531158426137
0.62,-5.483870967741936,-10.0,0.0,-0.0,392.4927995531676,0.0054084789959276125,-0.2662860032686386,-3.1290518461727115
0.63,-5.483870967741936,-10.0,0.0,-0.0,392.4907927559558,0.005832315448688619,-0.2591364186800015,-3.127912805722453
0.64,-5.483870967741936,-10.0,0.0,-0.0,392.4886763743344,0.006269779474410486,-0.2520581394297208,-3.1267344059249407
0.65,-5.483870967741936,-10.0,0.0,-0.0,392.48645182239164,0.006718894018609367,-0.24505390341163413,-3.125516465268172
0.66,-5.483870967741936,-10.0,0.0,-0.0,392.4841205406283,0.007178128129061601,-0.23812684217391278,-3.124260438821667
0.67,-5.483870967741936,-10.0,0.0,-0.0,392.48168401765673,0.007646827181452265,-0.23128052590439352,-3.122968788859515
0.68,-5.483870967741936,-10.0,0.0,-0.0,392.47914380979375,0.008125120207417569,-0.22451892845795451,-3.121644532521659
0.69,-5.483870967741936,-10.0,0.0,-0.0,392.4765015570258,0.008613743911385141,-0.21784638351376429,-3.120290870690933
0.7,-5.483870967741936,-10.0,0.0,-0.0,2.9162699459897388,0.009113643440436081,-0.21126750807711703,-3.1189108607505407
0.71,-5.483870967741936,-10.0,0.0,-0.0,392.4709179324328,0.009625399282206959,-0.2047870891885294,-3.117507265653735
0.72,-5.483870967741936,-10.0,0.0,-0.0,392.4679802792143,0.010148866268180234,-0.19840999385123614,-3.1160825776571324
0.73,-5.483870967741936,-10.0,0.0,-0.0,392.4649479993435,0.010683321237846932,-0.19214116375385226,-3.11463901892701
0.74,-5.483870967741936,-10.0,0.0,-0.0,392.46182313249477,0.011228033480095712,-0.1859856806471346,-3.113178494074955
0.75,-5.483870967741936,-10.0,0.0,-0.0,392.4586078023212,0.011782828513363042,-0.17994880812833547,-3.11170271236804
0.76,-5.483870967741936,-10.0,0.0,-0.0,392.4553042294524,0.012348204467479973,-0.17403592484569919,-3.110213537649724
0.77,-5.483870967741936,-10.0,0.0,-0.0,392.45191473692347,0.01292503267638806,-0.16825236523167408,-3.1087134243648387
0.78,-5.483870967741936,-10.0,0.0,-0.0,392.44844174392176,0.013514077631485821,-0.16260319162800874,-3.107206107900489
0.79,-5.483870967741936,-10.0,0.0,-0.0,392.44488771821403,0.014114084878949051,-0.1570926023940823,-3.105698271137292
0.8,-5.483870967741936,-10.0,0.0,-0.0,392.44125497824007,0.014713887301246065,-0.15172271543836513,-3.104197345523549
0.81,-5.483870967741936,-10.0,0.0,-0.0,392.43754580104434,0.015306749314097201,-0.14649775778535246,-3.10269704202005
0.82,-5.483870967741936,-10.0,0.0,-0.0,2.876273671254153,0.01590140499308934,-0.14142431002400813,-3.1011928125036063
0.83,-5.483870967741936,-10.0,0.0,-0.0,392.42990837959604,0.016501015904471616,-0.1365068196314767,-3.099685978706817
0.84,-5.483870967741936,-10.0,0.0,-0.0,392.42598546729397,0.01710397889434967,-0.1317481807619727,-3.0981794284454547
0.85,-5.483870967741936,-10.0,0.0,-0.0,392.4219966236936,0.017706520490267275,-0.12715020248950315,-3.0966774536337196
