time,wheel_l,wheel_r,roll,pitch,yaw,beta_l,beta_r,alpha
0.0,-4.193548387096774,-10.0,0.0,0.0,464.25366333266953,-0.3491582207165895,-0.8461904787811056,0.0
0.01,-4.193548387096774,-10.0,0.0,0.0,-0.7020493986198669,-0.3491582207165895,-0.8461904787811056,0.0
0.02,-4.193548387096774,-10.0,0.0,0.0,464.25366288297306,-0.32956448616388645,-0.8265695544531954,0.0
0.03,-4.193548387096774,-10.0,0.0,0.0,464.25366196430485,-0.3197816023125206,-0.8167581890844942,0.0
0.04,-4.193548387096774,-10.0,0.0,0.0,464.25366055199066,-0.3100002256999411,-0.8069468975251212,0.0
0.05,-4.193548387096774,-10.0,0.0,0.0,464.25365862096487,-0.3002204520386768,-0.7971356899406341,0.0
0.06,-4.193548387096774,-10.0,0.0,0.0,-0.7020565866431564,-0.29044238459108584,-0.7873245777460024,0.0
0.07,-4.193548387096774,-10.0,0.0,0.0,464.2536530948222,-0.2806661350505737,-0.7775135737766379,0.0
0.08,-4.193548387096774,-10.0,0.0,0.0,464.25364944151937,-0.27089182457456695,-0.7677026924882379,0.0
0.09,-4.193548387096774,-10.0,0.0,0.0,-0.7020675784313581,-0.2611195850026977,-0.757891950191638,0.0
0.1,-4.193548387096774,-10.0,0.0,0.0,464.25364019488717,-0.2513495603023908,-0.7480813653305358,0.0
0.11,-4.193548387096774,-10.0,0.0,0.0,464.2536345313963,-0.24158190829546444,-0.7382709588121361,0.0
0.12,-4.193548387096774,-10.0,0.0,0.0,464.2536281237,-0.2318168027344035,-0.7284607544036844,0.0
0.13,-4.193548387096774,-10.0,0.0,0.0,464.25362093038865,-0.22205443581700146,-0.7186507792117784,0.0
0.14,-4.193548387096774,-10.0,0.0,0.0,464.25361290703796,-0.21229502125504354,-0.7088410642666827,0.0
0.15,-4.193548387096774,-10.0,0.0,0.0,464.25360400586845,-0.2025387980494422,-0.6990316452412015,0.0
0.16,-4.193548387096774,-10.0,0.0,0.0,464.25359417534213,-0.1927860351749189,-0.6892225633438764,0.0
0.17,-4.193548387096774,-10.0,0.0,0.0,464.2535833596809,-0.183037037448218,-0.6794138664406815,0.0
0.18,-4.193548387096774,-10.0,0.0,0.0,464.25357149828585,-0.17329215295450157,-0.6696056104800048,-3.1415284799382412
0.19,-4.193548387096774,-10.0,0.0,0.0,464.2535585250302,-0.16355178255189898,-0.6597978613256986,-3.1415200553618705
0.2,-4.193548387096774,-10.0,0.0,0.0,464.2535443673882,-0.15381639218781382,-0.649990697147356,-3.1415109668908014
0.21,-4.193548387096774,-10.0,0.0,0.0,464.2535289453492,-0.1440865290809786,-0.6401842115839042,-3.141501184981031
0.22,-4.193548387096774,-10.0,0.0,0.0,464.25351217004595,-0.13436284331453346,-0.6303785179997026,-3.141490678069878
0.23,-4.193548387096774,-10.0,0.0,0.0,464.2534939419947,-0.12464611715763002,-0.620573755314912,-3.1414794120017118
0.24,-4.193548387096774,-10.0,0.0,0.0,464.25347414880014,-0.114937305681165,-0.6107700961550451,-3.14146734909255
0.25,-4.193548387096774,-10.0,0.0,0.0,464.2534526621025,-0.10523759431508395,-0.6009677585033203,-3.1414544465504606
0.26,-4.193548387096774,-10.0,0.0,0.0,464.2534293334249,-0.09554848259459903,-0.5911670227956722,-3.1414406537113226
0.27,-4.193548387096774,-10.0,0.0,0.0,464.253403988373,-0.08587190983187853,-0.5813682577527791,-3.141425907006335
0.28,-4.193548387096774,-10.0,0.0,0.0,464.2533764182738,-0.07621045072938953,-0.5715719607795098,-3.1414101203841396
0.29,-4.193548387096774,-10.0,0.0,0.0,464.25334636764893,-0.06656763356386353,-0.5617788237636981,-3.141393166116924
0.3,-4.193548387096774,-10.0,0.0,0.0,464.2533135145316,-0.0569484864432378,-0.5519898455994523,-3.1413748338715144
