time,wheel_l,wheel_r,roll,pitch,yaw,beta_l,beta_r,alpha
0.0,0.5806451612903238,18.0,0.0,0.0,1035.8990462106633,-0.009153901506914572,1.4819428726866337,0.0
0.01,0.5806451612903238,18.0,0.0,0.0,1035.9012773660588,0.05386721273364232,1.4097559699611337,-0.0022311553955206374
0.02,0.5806451612903238,18.0,0.0,0.0,-0.822280686497526,-0.005258786614386238,1.36356948380655,-0.001708389362205565
0.03,0.5806451612903238,18.0,0.0,0.0,1035.906053449934,-0.006557423439087252,1.3173771716883822,0.0
0.04,0.5806451612903238,18.0,0.0,0.0,1035.9095122113742,-0.009566284770359916,1.2719295461500655,-0.0015455286891740833
0.05,0.5806451612903238,18.0,0.0,0.0,1035.9136945368182,-0.01098701399212424,1.2266608382999604,-0.0042070483334278735
0.06,0.5806451612903238,18.0,0.0,0.0,1035.9185719896832,-0.013536735417998498,1.1819863951551004,-0.00738769508949351
0.07,0.5806451612903238,18.0,0.0,0.0,1035.92414429371,-0.015730665357701436,1.137684484814433,-0.010918879036967704
0.08,0.5806451612903238,18.0,0.0,0.0,1035.930400815947,-0.018088545677154323,1.0938629809484621,-0.014710497724198945
0.09,0.5806451612903238,18.0,0.0,0.0,1035.9373388616546,-0.020340066144885517,1.050311138169039,-0.01931399288361115
0.1,0.5806451612903238,18.0,0.0,0.0,1035.9449407525503,-0.022935727385462658,1.0074864585205232,-0.023573362699620716
0.11,0.5806451612903238,18.0,0.0,0.0,1035.9531938068458,-0.025646457533769908,0.9653152263619824,-0.027812961062023217
0.12,0.5806451612903238,18.0,0.0,0.0,1035.9620863477471,-0.02841959605626302,0.9237891995180347,-0.03224860838406354
0.13,0.5806451612903238,18.0,0.0,0.0,1035.9716053006853,-0.031279958266816156,0.8829682678696957,-0.036885197414772315
0.14,0.5806451612903238,18.0,0.0,0.0,1035.9817363413667,-0.03423648553873108,0.8429192233546079,-0.04170557515176653
0.15,0.5806451612903238,18.0,0.0,0.0,1035.9924638774287,-0.0372942365739257,0.8037138522615345,-0.04668947981526778
0.16,0.5806451612903238,18.0,0.0,0.0,-0.7218035347965831,-0.04042857835212702,0.7653868880113066,-0.05188656632979963
0.17,0.5806451612903238,18.0,0.0,0.0,1036.015649240717,-0.043501678194840444,0.7278433885530342,-0.05757994471287438
0.18,0.5806451612903238,18.0,0.0,0.0,1036.028069597391,-0.04688183457791426,0.6915413251680754,-0.06308229726288027
0.19,0.5806451612903238,18.0,0.0,0.0,-0.6845657825855704,-0.050422183065284266,0.6564921290226118,-0.06846162230321902
0.2,0.5806451612903238,18.0,0.0,0.0,1036.0544490286804,-0.053987915929455156,0.6226977842277411,-0.07385629411439237
0.21,0.5806451612903238,18.0,0.0,0.0,1036.068364746915,-0.05757932532166441,0.5902249238637045,-0.07932852576118063
0.22,0.5806451612903238,18.0,0.0,0.0,1036.082733478941,-0.06120565415948196,0.5591459592559505,-0.08488492157320217
0.23,0.5806451612903238,18.0,0.0,0.0,1036.0975315129067,-0.06481902023419997,0.5295168956452321,-0.09049008174801017
0.24,0.5806451612903238,18.0,0.0,0.0,-0.6128414414744491,-0.06842144870141406,0.5013898723087817,-0.09603949924901999
0.25,0.5806451612903238,18.0,0.0,0.0,1036.128314486982,-0.07211137335098403,0.47482262507508577,-0.10155870460185436
0.26,0.5806451612903238,18.0,0.0,0.0,1036.1442461830704,-0.07582197096473262,0.4498140202673393,-0.10710541499696231
0.27,0.5806451612903238,18.0,0.0,0.0,1036.1605031143943,-0.07952946982780038,0.4263972661420361,-0.11263648397293298
0.28,0.5806451612903238,18.0,0.0,0.0,1036.1770599614704,-0.08319483309894357,0.40455700827605234,-0.11814343504889409
0.29,0.5806451612903238,18.0,0.0,0.0,1036.1938919879549,-0.08679988570390049,0.384276083535088,-0.12360958387919095
0.3,0.5806451612903238,18.0,0.0,0.0,1036.210974906938,-0.09033457398893238,0.36553730982791066,-0.12900567863044898
0.31,0.5806451612903238,18.0,0.0,0.0,1036.2282854973027,-0.09377808015746211,0.34829691792551376,-0.13432018082672448
0.32,0.5806451612903238,18.0,0.0,0.0,1036.2458029270406,-0.09708050674637544,0.33246002533181995,-0.13959550177784183
0.33,0.5806451612903238,18.0,0.0,0.0,1036.2635063424966,-0.10026246459825913,0.31800733295588524,-0.1447641589616181
0.34,0.5806451612903238,18.0,0.0,0.0,1036.2813753357648,-0.10332519671665227,0.30491058541972116,-0.1497522123779007
0.35,0.5806451612903238,18.0,0.0,0.0,-0.42618231514317056,-0.10620036209281034,0.29300356843398667,-0.1546703624543259
0.36,0.5806451612903238,18.0,0.0,0.0,-0.4080327841756222,-0.10893643757001334,0.2822987599879496,-0.15938379760116805
0.37,0.5806451612903238,18.0,0.0,0.0,1036.335809024644,-0.11149705902742588,0.27267258938493555,-0.16393713795178202
0.38,0.5806451612903238,18.0,0.0,0.0,1036.354179607076,-0.1138469817344426,0.26399249708221384,-0.16839745578227636
