time,wheel_l,wheel_r,roll,pitch,yaw,beta_l,beta_r,alpha
0.0,-4.064516129032256,-18.0,0.0,0.0,970.4880332283794,-0.28906545333179484,-1.4819428726866337,0.0
0.01,-4.064516129032256,-18.0,0.0,0.0,970.4880293646869,-0.230416687042309,-1.4230599666314516,0.0
0.02,-4.064516129032256,-18.0,0.0,-0.0,970.4880201781941,-0.1718553344930507,-1.364176052386315,0.0
0.03,-4.064516129032256,-18.0,0.0,-0.0,970.488003411004,-0.1134332250756383,-1.3052945527125124,0.0
0.04,-4.064516129032256,-18.0,0.0,-0.0,970.4879750093323,-0.05527102852978766,-1.246427306580027,-3.1415389481269624
0.05,-4.064516129032256,-18.0,0.0,-0.0,970.4879240045866,0.00215474291346196,-1.1876317888523187,-3.1414720901532176
0.06,-4.064516129032256,-18.0,0.0,-0.0,970.486254079363,-0.031178874303891213,-1.122858825107817,-3.1335579490079795
0.07,-4.064516129032256,-18.0,0.0,-0.0,970.4847723750896,0.025270752874507307,-1.0778153875152354,-3.134372264777917
0.08,-4.064516129032256,-18.0,0.0,-0.0,970.4817681653029,-0.012016917672696303,-1.0228392239549082,-3.133027190045152
0.09,-4.064516129032256,-18.0,0.0,-0.0,970.4786253966489,0.021599300225222717,-0.9808263386955712,-3.131462310725777
0.1,-4.064516129032256,-18.0,0.0,-0.0,2.8639034401079235,0.006470780399658871,-0.9328167953413191,-3.1288866754688462
0.11,-4.064516129032256,-18.0,0.0,-0.0,970.4696817790776,0.014916205509681424,-0.8895678326358303,-3.126159863201374
0.12,-4.064516129032256,-18.0,0.0,-0.0,2.853678857180943,0.015905981150584392,-0.8457550940374683,-3.1230800012873634
0.13,-4.064516129032256,-18.0,0.0,-0.0,970.4580862207662,0.018530135998081232,-0.8028727938508646,-3.119728184742487
0.14,-4.064516129032256,-18.0,0.0,-0.0,970.4513043113741,0.021174458900816817,-0.7607192512913631,-3.116130847441945
0.15,-4.064516129032256,-18.0,0.0,-0.0,970.4438862438695,0.023947330499103192,-0.7193951980773574,-3.1123217519757738
0.16,-4.064516129032256,-18.0,0.0,-0.0,970.4358496856233,0.026864685884717132,-0.678997303748415,-3.108327327149829
0.17,-4.064516129032256,-18.0,0.0,-0.0,970.4272140523373,0.029927583322468587,-0.6396304588980806,-3.1041707862320185
0.18,-4.064516129032256,-18.0,0.0,-0.0,970.4180004958048,0.0331283741846532,-0.6014075193023706,-3.099875573103153
0.19,-4.064516129032256,-18.0,0.0,-0.0,970.4082320687788,0.03646137511862385,-0.5644493664641259,-3.0954622645676912
0.2,-4.064516129032256,-18.0,0.0,-0.0,970.3979340012628,0.03993114374795631,-0.5288833841387557,-3.0909494855856106
0.21,-4.064516129032256,-18.0,0.0,-0.0,970.3871338391083,0.043549528682843563,-0.4948380641064174,-3.0863647046161105
