time,wheel_l,wheel_r,roll,pitch,yaw,beta_l,beta_r,alpha
0.0,14.516129032258064,18.0,0.0,0.0,453.12039305580953,1.183723517847924,1.4819428726866337,0.0
0.01,14.516129032258064,18.0,0.0,-0.0,453.1203930724771,1.1248646010621228,1.4230829458452434,0.0
0.02,14.516129032258064,18.0,0.0,-0.0,453.1203931122078,1.0660061149184865,1.3642230620762752,0.0
0.03,14.516129032258064,18.0,0.0,-0.0,453.1203931839769,1.0071482346106642,1.3053632402428526,0.0
0.04,14.516129032258064,18.0,0.0,-0.0,453.12039330037675,0.9482912065138998,1.2465035075202664,0.0
0.05,14.516129032258064,18.0,0.0,-0.0,453.1203934790682,0.8894353770052308,1.187643903141168,0.0
0.06,14.516129032258064,18.0,0.0,-0.0,453.12039374480804,0.8305812328849513,1.128784483886764,0.0
0.07,14.516129032258064,18.0,0.0,-0.0,453.12039413227814,0.7717294580296048,1.0699253321798667,0.0
0.08,14.516129032258064,18.0,0.0,-0.0,453.1203946900256,0.7128810127429756,1.0110665680863775,0.0
0.09,14.516129032258064,18.0,0.0,-0.0,453.1203954859407,0.6540372448607447,0.9522083672438187,0.0
0.1,14.516129032258064,18.0,0.0,-0.0,453.1203966148575,0.5952000453976652,0.893350987879559,0.0
0.11,14.516129032258064,18.0,0.0,-0.0,453.12039820908274,0.536372067167422,0.8344948119557042,0.0
0.12,14.516129032258064,18.0,0.0,-0.0,453.1204004529821,0.4775570340849652,0.7756404086218359,0.0
0.13,14.516129032258064,18.0,0.0,-0.0,453.1204036032695,0.41876018617501143,0.7167886335960627,0.0
0.14,14.516129032258064,18.0,0.0,-0.0,453.12040801761975,0.3599889427197438,0.6579407879341788,-1.149774660514363e-05
0.15,14.516129032258064,18.0,0.0,-0.0,453.1204141964092,0.3012539585543952,0.5990988787551992,-1.6089943958530192e-05
0.16,14.516129032258064,18.0,0.0,-0.0,453.1204228481251,0.24257100528880904,0.5402660661421272,-2.2363035245603795e-05
0.17,14.516129032258064,18.0,0.0,-0.0,453.1204350060989,0.18396490707096658,0.4814474886978357,-3.085422011351885e-05
0.18,14.516129032258064,18.0,0.0,-0.0,453.12045228324604,0.1254796587610254,0.42265201848202727,-4.220707408641197e-05
0.19,14.516129032258064,18.0,0.0,-0.0,453.12047760982915,0.06721256416826926,0.3638971280704335,-5.701440682379162e-05
0.2,14.516129032258064,18.0,0.0,-0.0,0.7311765289887656,0.009498706252313083,0.3052312740458709,-7.364088925243646e-05
0.21,14.516129032258064,18.0,0.0,-0.0,453.1206854273544,-0.04098765652503733,0.24712474332929868,0.00020673452146087681
0.22,14.516129032258064,18.0,0.0,-0.0,453.1231510980707,0.027702408811936197,0.17650211824146922,-0.002455222785253043
0.23,14.516129032258064,18.0,0.0,-0.0,453.1252741440229,-0.02798824475895345,0.1415745253764067,-0.004119368721482807
0.24,14.516129032258064,18.0,0.0,-0.0,453.12852341999417,-0.0033967894882851457,0.09791644149143641,-0.0057875250556845195
0.25,14.516129032258064,18.0,0.0,-0.0,453.13179813990536,-0.025144612727712623,0.07462671549323807,-0.007489328022927132
0.26,14.516129032258064,18.0,0.0,-0.0,453.13548753980785,-0.021719340784818186,0.05292237996089111,-0.008752264596990378
0.27,14.516129032258064,18.0,0.0,-0.0,453.1392351647236,-0.02755638821260642,0.04355689673454011,-0.009845394751391004
0.28,14.516129032258064,18.0,0.0,-0.0,453.14302673639804,-0.03013912738569724,0.038310983978889324,-0.01056358725537347
0.29,14.516129032258064,18.0,0.0,-0.0,453.1468285538507,-0.03184641134877464,0.03598280586014946,-0.011031183960310761
0.3,14.516129032258064,18.0,0.0,-0.0,453.15063367880754,-0.032739790053900375,0.034888992400412766,-0.011315468156781958
0.31,14.516129032258064,18.0,0.0,-0.0,453.15443987941654,-0.03319172663012426,0.03437187130208175,-0.01148432612420835
0.32,14.516129032258064,18.0,0.0,-0.0,453.15824651451936,-0.03341392722152903,0.034123340384975,-0.011583301333667636
0.33,14.516129032258064,18.0,0.0,-0.0,453.1620533554149,-0.03352181650487163,0.03400298006292357,-0.011640940449365571
0.34,14.516129032258064,18.0,0.0,-0.0,453.16586030451066,-0.033573799438575413,0.033944440199246584,-0.011674381395074476
0.35,14.516129032258064,18.0,0.0,-0.0,453.1696673134627,-0.03359870826773004,0.033915904076144976,-0.011693735809887182
0.36,14.516129032258064,18.0,0.0,-0.0,453.17347435627056,-0.03361058517530635,0.033901975506615,-0.011704917605808388
0.37,14.516129032258064,18.0,0.0,-0.0,453.17728141839933,-0.033616218950426324,0.03389517088510319,-0.011711368842137545
0.38,14.516129032258064,18.0,0.0,-0.0,453.18108849159125,-0.03361887528464047,0.03389184412279733,-0.011715086653869052
0.39,14.516129032258064,18.0,0.0,-0.0,0.7955534541949698,-0.03362011857954372,0.03389021650284896,-0.011717227218786406
0.4,14.516129032258064,18.0,0.0,-0.0,453.18870265429575,-0.033620695133739664,0.03388941956900604,-0.011718458710824574
